MLS Number,Address,Town,Original List Price,Sold Price,Sold/List %,Style,Rooms,Beds,Baths,Garage,Basement,Days on Market,Link
3953123,430 Ridgewood Rd,Maplewood Twp,810000,977000,121,Colonial, Victorian,9,3,2.1,2,Yes,9,https://www.zillow.com/homedetails/430-Ridgewood-Rd-Maplewood-NJ-07040/52633360_zpid/
3953870,81 Courter Ave,Maplewood Twp,825000,999999,121,Colonial,11,4,1.1,2,Yes,11,https://www.zillow.com/homedetails/81-Courter-Ave-Maplewood-NJ-07040/39876336_zpid/
3952975,38 Madison Ave,Maplewood Twp,829000,1100000,133,Colonial,8,4,1.1,0,Yes,9,
3952755,465 Elmwood Ave,Maplewood Twp,849000,900000,106,Colonial, Victorian,8,4,2.1,2,Yes,17,
3949956,13 Oberlin St,Maplewood Twp,850000,909000,107,Colonial, First Floor Unit,9,4,2.0,1,Yes,14,
3960040,117 Oakview Ave,Maplewood Twp,859000,999999,116,Colonial,10,3,2.1,2,Yes,9,
3955072,41 Salter Pl,Maplewood Twp,875000,950000,109,Colonial,8,3,2.0,2,Yes,17,
3951772,39 Collinwood Rd,Maplewood Twp,879000,999999,114,Colonial,11,4,2.0,2,Yes,7,
3951488,17 EVERGREEN PLACE,Maplewood Twp,895000,990000,111,Colonial,8,4,1.1,1,Yes,21,
3949222,14 Colgate Rd,Maplewood Twp,899000,1265314,141,Colonial, Tudor,9,4,1.1,1,Yes,9,
3951711,42 Headley Pl,Maplewood Twp,899000,1325000,147,Colonial,12,3,2.1,1,Yes,9,
3954474,13-15 Plymouth Ave,Maplewood Twp,929000,1388800,149,Contemporary,12,4,4.0,2,Yes,8,
3950496,81 Parker Ave,Maplewood Twp,949000,947299,100,Colonial,12,5,2.1,1,Yes,9,
3954146,26 North Terrace,Maplewood Twp,975000,1150000,118,Colonial,10,4,2.1,0,Yes,10,
3955982,452-454 Richmond Ave,Maplewood Twp,995000,1225000,123,See Remarks,11,4,2.0,1,Yes,9,
3951769,81 Jefferson Ave,Maplewood Twp,1049000,1450000,138,Colonial,10,4,2.2,2,Yes,9,
3950507,82 Courter Ave,Maplewood Twp,1050000,1060000,101,Colonial,11,4,3.0,2,Yes,12,
3953008,8 Highland Ave,Maplewood Twp,1050000,1350000,129,Colonial,11,5,2.0,2,Yes,9,
3954464,15-17 Sagamore Rd,Maplewood Twp,1075000,1200000,112,Ranch,8,3,2.1,2,Yes,13,
3960075,10-12 Oberlin St,Maplewood Twp,1075000,1305000,121,Colonial,9,4,2.1,4,Yes,9,
3948820,60 S Mountain Ave,Maplewood Twp,1100000,1102500,100,Mediterranean,8,3,2.1,1,Yes,16,
3949151,666 Prospect St,Maplewood Twp,1100000,1170000,106,Split Level,10,5,2.1,2,Yes,9,
3958048,10 Maplewood Ave,Maplewood Twp,1100000,1130625,103,Split Level,9,4,3.1,2,Yes,10,
3949103,24 De Hart Rd,Maplewood Twp,1125000,1248750,111,Colonial,10,4,2.1,2,Yes,8,
3952245,175 Garfield Pl,Maplewood Twp,1195000,1355000,113,Colonial,10,4,4.1,2,Yes,0,
3954493,417 Walton Road,Maplewood Twp,1195000,1465000,123,Colonial,10,5,3.1,1,Yes,9,
3961548,446 Ridgewood Rd,Maplewood Twp,1195000,1561000,131,Colonial,11,6,3.1,2,Yes,8,
3951352,1 Jennifer Ln,Maplewood Twp,1199000,1250000,104,Victorian,11,5,3.1,1,Yes,17,
3951338,31 Burroughs Way,Maplewood Twp,1274888,1175000,92,Tudor,13,5,4.1,2,Yes,35,
3953142,7 Warren Rd,Maplewood Twp,1280000,1320000,103,Cape Cod, Colonial,10,4,3.1,2,Yes,16,
3957521,16 Oakdale Ave,Millburn Twp,875000,937000,107,Cape Cod, Colonial,6,3,2.1,1,Yes,0,
3953264,15 Rosedale Ave,Millburn Twp,948000,1158000,122,Colonial,7,4,2.0,2,Yes,13,
3951557,911 Ridgewood Rd,Millburn Twp,975000,995000,102,Colonial,10,4,1.1,1,Yes,10,
3953303,436 Millburn Ave,Millburn Twp,975000,1056000,108,Colonial,8,3,2.0,1,Yes,19,
3963571,422 Millburn Ave,Millburn Twp,1100000,1100000,100,Colonial,14,4,2.1,2,Yes,0,
3955962,730 Ridgewood Rd,Millburn Twp,1175000,1210000,103,Colonial,9,3,2.1,1,Yes,8,
3959871,31 Woodland Rd,Millburn Twp,1199000,1437500,120,Colonial,10,3,2.1,1,Yes,18,
3958216,17A SPRING STREET,Millburn Twp,1250000,1280000,102,Multi Floor Unit, Townhouse-End Unit,7,4,3.1,1,No,16,
3951919,167 Myrtle Ave,Millburn Twp,1288000,1414000,110,Colonial,8,4,2.1,2,Yes,12,
3950156,49 Greenwood Dr,Millburn Twp,1295000,1600000,124,Tudor,7,4,3.0,2,Yes,10,
3954309,139 Sagamore Rd,Millburn Twp,1295000,1530000,118,Tudor,9,4,2.1,1,Yes,10,
3955417,34 Pine Terr East,Millburn Twp,1295000,1250000,97,Colonial,8,4,2.1,1,Yes,39,
